"1","01001","Adrar","1"
"2","01002","Tamest","1"
"3","01003","Charouine","1"
"4","01004","Reggane","1"
"5","01005","Inozghmir","1"
"6","01006","Tit","1"
"7","01007","Ksar Kaddour","1"
"8","01008","Tsabit","1"
"9","01009","Timimoun","1"
"10","01010","Ouled Said","1"
"11","01011","Zaouiet Kounta","1"
"12","01012","Aoulef","1"
"13","01013","Timokten","1"
"14","01014","Tamentit","1"
"15","01015","Fenoughil","1"
"16","01016","Tinerkouk","1"
"17","01017","Deldoul","1"
"18","01018","Sali","1"
"19","01019","Akabli","1"
"20","01020","Metarfa","1"
"21","01021","O Ahmed Timmi","1"
"22","01022","Bouda","1"
"23","01023","Aougrout","1"
"24","01024","Talmine","1"
"25","01025","B Badji Mokhtar","1"
"26","01026","Sbaa","1"
"27","01027","Ouled Aissa","1"
"28","01028","Timiaouine","1"
"29","02001","Chlef","2"
"30","02002","Tenes","2"
"31","02003","Benairia","2"
"32","02004","El Karimia","2"
"33","02005","Tadjna","2"
"34","02006","Taougrite","2"
"35","02007","Beni Haoua","2"
"36","02008","Sobha","2"
"37","02009","Harchoun","2"
"38","02010","Ouled Fares","2"
"39","02011","Sidi Akacha","2"
"40","02012","Boukadir","2"
"41","02013","Beni Rached","2"
"42","02014","Talassa","2"
"43","02015","Herenfa","2"
"44","02016","Oued Goussine","2"
"45","02017","Dahra","2"
"46","02018","Ouled Abbes","2"
"47","02019","Sendjas","2"
"48","02020","Zeboudja","2"
"49","02021","Oued Sly","2"
"50","02022","Abou El Hassen","2"
"51","02023","El Marsa","2"
"52","02024","Chettia","2"
"53","02025","Sidi Abderrahmane","2"
"54","02026","Moussadek","2"
"55","02027","El Hadjadj","2"
"56","02028","Labiod Medjadja","2"
"57","02029","Oued Fodda","2"
"58","02030","Ouled Ben Abdelkader","2"
"59","02031","Bouzghaia","2"
"60","02032","Ain Merane","2"
"61","02033","Oum Drou","2"
"62","02034","Breira","2"
"63","02035","Ben Boutaleb","2"
"64","03001","Laghouat","3"
"65","03002","Ksar El Hirane","3"
"66","03003","Benacer Ben Chohra","3"
"67","03004","Sidi Makhlouf","3"
"68","03005","Hassi Delaa","3"
"69","03006","Hassi R Mel","3"
"70","03007","Ain Mahdi","3"
"71","03008","Tadjmout","3"
"72","03009","Kheneg","3"
"73","03010","Gueltat Sidi Saad","3"
"74","03011","Ain Sidi Ali","3"
"75","03012","Beidha","3"
"76","03013","Brida","3"
"77","03014","El Ghicha","3"
"78","03015","Hadj Mechri","3"
"79","03016","Sebgag","3"
"80","03017","Taouiala","3"
"81","03018","Tadjrouna","3"
"82","03019","Aflou","3"
"83","03020","El Assafia","3"
"84","03021","Oued Morra","3"
"85","03022","Oued M Zi","3"
"86","03023","El Haouaita","3"
"87","03024","Sidi Bouzid","3"
"88","04001","Oum El Bouaghi","4"
"89","04002","Ain Beida","4"
"90","04003","Ainmlila","4"
"91","04004","Behir Chergui","4"
"92","04005","El Amiria","4"
"93","04006","Sigus","4"
"94","04007","El Belala","4"
"95","04008","Ain Babouche","4"
"96","04009","Berriche","4"
"97","04010","Ouled Hamla","4"
"98","04011","Dhala","4"
"99","04012","Ain Kercha","4"
"100","04013","Hanchir Toumghani","4"
"101","04014","El Djazia","4"
"102","04015","Ain Diss","4"
"103","04016","Fkirina","4"
"104","04017","Souk Naamane","4"
"105","04018","Zorg","4"
"106","04019","El Fedjoudj Boughrar","4"
"107","04020","Ouled Zouai","4"
"108","04021","Bir Chouhada","4"
"109","04022","Ksar Sbahi","4"
"110","04023","Oued Nini","4"
"111","04024","Meskiana","4"
"112","04025","Ain Fekroune","4"
"113","04026","Rahia","4"
"114","04027","Ain Zitoun","4"
"115","04028","Ouled Gacem","4"
"116","04029","El Harmilia","4"
"117","05001","Batna","5"
"118","05002","Ghassira","5"
"119","05003","Maafa","5"
"120","05004","Merouana","5"
"121","05005","Seriana","5"
"122","05006","Menaa","5"
"123","05007","El Madher","5"
"124","05008","Tazoult","5"
"125","05009","Ngaous","5"
"126","05010","Guigba","5"
"127","05011","Inoughissen","5"
"128","05012","Ouyoun El Assafir","5"
"129","05013","Djerma","5"
"130","05014","Bitam","5"
"131","05015","Metkaouak","5"
"132","05016","Arris","5"
"133","05017","Kimmel","5"
"134","05018","Tilatou","5"
"135","05019","Ain Djasser","5"
"136","05020","Ouled Selam","5"
"137","05021","Tigherghar","5"
"138","05022","Ain Yagout","5"
"139","05023","Fesdis","5"
"140","05024","Sefiane","5"
"141","05025","Rahbat","5"
"142","05026","Tighanimine","5"
"143","05027","Lemsane","5"
"144","05028","Ksar Belezma","5"
"145","05029","Seggana","5"
"146","05030","Ichmoul","5"
"147","05031","Foum Toub","5"
"148","05032","Beni Foudhala El Hakania","5"
"149","05033","Oued El Ma","5"
"150","05034","Talkhamt","5"
"151","05035","Bouzina","5"
"152","05036","Chemora","5"
"153","05037","Oued Chaaba","5"
"154","05038","Taxlent","5"
"155","05039","Gosbat","5"
"156","05040","Ouled Aouf","5"
"157","05041","Boumagueur","5"
"158","05042","Barika","5"
"159","05043","Djezzar","5"
"160","05044","Tkout","5"
"161","05045","Ain Touta","5"
"162","05046","Hidoussa","5"
"163","05047","Teniet El Abed","5"
"164","05048","Oued Taga","5"
"165","05049","Ouled Fadel","5"
"166","05050","Timgad","5"
"167","05051","Ras El Aioun","5"
"168","05052","Chir","5"
"169","05053","Ouled Si Slimane","5"
"170","05054","Zanat El Beida","5"
"171","05055","Amdoukal","5"
"172","05056","Ouled Ammar","5"
"173","05057","El Hassi","5"
"174","05058","Lazrou","5"
"175","05059","Boumia","5"
"176","05060","Boulhilat","5"
"177","05061","Larbaa","5"
"178","06001","Bejaia","6"
"179","06002","Amizour","6"
"180","06003","Ferraoun","6"
"181","06004","Taourirt Ighil","6"
"182","06005","Chelata","6"
"183","06006","Tamokra","6"
"184","06007","Timzrit","6"
"185","06008","Souk El Thenine","6"
"186","06009","Mcisna","6"
"187","06010","Thinabdher","6"
"188","06011","Tichi","6"
"189","06012","Semaoun","6"
"190","06013","Kendira","6"
"191","06014","Tifra","6"
"192","06015","Ighram","6"
"193","06016","Amalou","6"
"194","06017","Ighil Ali","6"
"195","06018","Ifelain Ilmathen","6"
"196","06019","Toudja","6"
"197","06020","Darguina","6"
"198","06021","Sidi Ayad","6"
"199","06022","Aokas","6"
"200","06023","Beni Djellil","6"
"201","06024","Adekar","6"
"202","06025","Akbou","6"
"203","06026","Seddouk","6"
"204","06027","Tazmalt","6"
"205","06028","Ait Rizine","6"
"206","06029","Chemini","6"
"207","06030","Souk Oufella","6"
"208","06031","Taskriout","6"
"209","06032","Tibane","6"
"210","06033","Tala Hamza","6"
"211","06034","Barbacha","6"
"212","06035","Beni Ksila","6"
"213","06036","Ouzallaguen","6"
"214","06037","Bouhamza","6"
"215","06038","Beni Melikeche","6"
"216","06039","Sidi Aich","6"
"217","06040","El Kseur","6"
"218","06041","Melbou","6"
"219","06042","Akfadou","6"
"220","06043","Leflaye","6"
"221","06044","Kherrata","6"
"222","06045","Draa Kaid","6"
"223","06046","Tamridjet","6"
"224","06047","Ait Smail","6"
"225","06048","Boukhelifa","6"
"226","06049","Tizi Nberber","6"
"227","06050","Beni Maouch","6"
"228","06051","Oued Ghir","6"
"229","06052","Boudjellil","6"
"230","07001","Biskra","7"
"231","07002","Oumache","7"
"232","07003","Branis","7"
"233","07004","Chetma","7"
"234","07005","Ouled Djellal","7"
"235","07006","Ras El Miaad","7"
"236","07007","Besbes","7"
"237","07008","Sidi Khaled","7"
"238","07009","Doucen","7"
"239","07010","Ech Chaiba","7"
"240","07011","Sidi Okba","7"
"241","07012","Mchouneche","7"
"242","07013","El Haouch","7"
"243","07014","Ain Naga","7"
"244","07015","Zeribet El Oued","7"
"245","07016","El Feidh","7"
"246","07017","El Kantara","7"
"247","07018","Ain Zaatout","7"
"248","07019","El Outaya","7"
"249","07020","Djemorah","7"
"250","07021","Tolga","7"
"251","07022","Lioua","7"
"252","07023","Lichana","7"
"253","07024","Ourlal","7"
"254","07025","Mlili","7"
"255","07026","Foughala","7"
"256","07027","Bordj Ben Azzouz","7"
"257","07028","Meziraa","7"
"258","07029","Bouchagroun","7"
"259","07030","Mekhadma","7"
"260","07031","El Ghrous","7"
