id,commune_name,daira_name,wilaya_code,wilaya_name
22,Timekten,Aoulef,01,Adrar
6,Bouda,Adrar,01,Adrar
13,Ouled Ahmed Timmi,Adrar,01,Adrar
1,Adrar,Adrar,01,Adrar
9,Fenoughil,Fenoughil,01,Adrar
10,In Zghmir,Zaouiat Kounta,01,Adrar
16,Reggane,Reggane,01,Adrar
17,Sali,Reggane,01,Adrar
18,Sebaa,Tsabit,01,Adrar
27,Tsabit,Tsabit,01,Adrar
21,Tamest,Fenoughil,01,Adrar
20,Tamantit,Fenoughil,01,Adrar
26,Tit,Aoulef,01,Adrar
28,Zaouiet Kounta,Zaouiat Kounta,01,Adrar
2,Akabli,Aoulef,01,Adrar
4,Aoulef,Aoulef,01,Adrar
60,Talassa,Abou El Hassane,02,Chlef
63,Zeboudja,Zeboudja,02,Chlef
41,El Hadjadj,Ouled Ben Abdelkader,02,Chlef
52,Ouled Ben Abdelkader,Ouled Ben Abdelkader,02,Chlef
30,Ain Merane,Ain Merane,02,Chlef
37,Breira,Beni Haoua,02,Chlef
51,Ouled Abbes,Oued Fodda,02,Chlef
48,Oued Fodda,Oued Fodda,02,Chlef
34,Beni Rached,Oued Fodda,02,Chlef
45,Herenfa,Ain Merane,02,Chlef
59,Tadjena,Abou El Hassane,02,Chlef
43,El Marsa,El Marsa,02,Chlef
39,Chlef,Chlef,02,Chlef
54,Oum Drou,Chlef,02,Chlef
55,Sendjas,Chlef,02,Chlef
56,Sidi Abderrahmane,Tenes,02,Chlef
57,Sidi Akkacha,Tenes,02,Chlef
62,Tenes,Tenes,02,Chlef
32,Beni  Bouattab,El Karimia,02,Chlef
42,El Karimia,El Karimia,02,Chlef
44,Harchoun,El Karimia,02,Chlef
36,Bouzeghaia,Zeboudja,02,Chlef
61,Taougrit,Taougrit,02,Chlef
33,Beni Haoua,Beni Haoua,02,Chlef
29,Abou El Hassane,Abou El Hassane,02,Chlef
49,Oued Goussine,Beni Haoua,02,Chlef
38,Chettia,Ouled Fares,02,Chlef
47,Moussadek,El Marsa,02,Chlef
53,Ouled Fares,Ouled Fares,02,Chlef
35,Boukadir,Boukadir,02,Chlef
50,Oued Sly,Boukadir,02,Chlef
58,Sobha,Boukadir,02,Chlef
31,Benairia,Zeboudja,02,Chlef
46,Labiod Medjadja,Ouled Fares,02,Chlef
40,Dahra,Taougrit,02,Chlef
67,El Beidha,Gueltat Sidi Saad,03,Laghouat
73,Gueltat Sidi Saad,Gueltat Sidi Saad,03,Laghouat
69,Brida,Brida,03,Laghouat
66,Ain Sidi Ali,Gueltat Sidi Saad,03,Laghouat
85,Tadjemout,Ain Madhi,03,Laghouat
74,Hadj Mechri,Brida,03,Laghouat
87,Taouiala,Brida,03,Laghouat
